"id","title","stage","session_type","duration","room","timeslot","presenter1","presenter2"
3672,"Defining the Role of Agile Manager â€“ Theory and Practice","Learning & Education","Workshop","90 minutes","Conference C","Wednesday 16:00-17:30","Michael Spayd","Lyssa Adkins"
1742,"Meta-Agile: Using Agile Methods to Deliver Agile Training","Learning & Education","Other","180 minutes","Conference C","Thursday 08:30-10:00, Thursday 10:30-12:00","Mishkin Berteig",
2512,"Using the Unified Process a Scaling Framework for Scrum","Learning & Education","Tutorial","90 minutes","Conference C","Friday 08:30-10:00","Mike Cottmeyer","Brian Sondergaard"
6799,"Legacy Code Keynote","Legacy Code","Talk","90 minutes","Osgoode Ballroom East","Wednesday 10:30-12:00","Michael Feathers",
915,"Agile at Scale: What it Takes on the Right-Hand Side of the Chasm","Legacy Code","Talk","90 minutes","York","Wednesday 08:30-10:00","Scott Ambler",
1778,"Agile Automated Testing Strategies: Flipping the Testing Pyramid Right-Side-Up","Legacy Code","Tutorial","180 minutes","York","Wednesday 14:00-15:30, Wednesday 16:00-17:30","Patrick Wilson-Welsh","Lisa Crispin"
2835,"Agile Architecture IS Possible â€“ You First Have to Believe!","Legacy Code","Experience report","30 minutes","York","Thursday 08:30-10:00","Mark Isham",
4037,"Technical Debt - How not to ignore it","Legacy Code","Talk","60 minutes","York","Thursday 08:30-10:00","Henrik Kniberg",
2936,"TDD Principles for Database Development   ","Legacy Code","Talk","90 minutes","York","Thursday 10:30-12:00","Dennis Lloyd Jr","Sebastian Meine"
2739,"Refactoring for Testable C++","Legacy Code","Tutorial","180 minutes","York","Thursday 14:00-15:30, Thursday 16:00-17:30","C. Keith Ray","Alex Aizikivski"
923,"How to be Agile with Fragile Large Legacy Applications?","Legacy Code","Experience report","45 minutes","York","Friday 08:30-10:00","Vandana Shah","Ainsley Nies"
6810,"Legacy Stage Wrap-Up","Legacy Code","Other","45 minutes","York","Friday 08:30-10:00","Angela Martin","Michael Feathers"
928,"The Secrets of High-Performance Agile Implementations","Leadership & Teams","Tutorial","180 minutes","Conference H","Thursday 08:30-10:00, Thursday 10:30-12:00","Gil Broza",
4377,"Dancing with the Agile Goddess","Leadership & Teams","Talk","90 minutes","Conference G","Friday 08:30-10:00","Israel Gat",
4151,"Practices of an Agile Team","Leadership & Teams","Experience report","30 minutes","Dominion North","Tuesday 10:45-12:15","Fumihiko Kinoshita",
4490,"Agile Project Experiences â€“ The Story Of Three Little Pigs","Leadership & Teams","Experience report","30 minutes","Dominion North","Tuesday 10:45-12:15","Craig Smith","Paul King"
4617,"The Myth and Magic of Self-Organizing Teams","Leadership & Teams","Talk","30 minutes","Dominion North","Tuesday 10:45-12:15","Kevin Wagoner",
3485,"product management in an agile world","Leadership & Teams","Talk","30 minutes","Dominion North","Tuesday 14:00-15:30","Steve Johnson",
4682,"""Un-assessments"" using Agile Evaluation Framework - actions by the teams, for the teams","Leadership & Teams","Experience report","30 minutes","Dominion North","Tuesday 14:00-15:30","William Krebs","Per Kroll"
3629,"XP: My Greatest Misses 2000-2008","Leadership & Teams","Talk","90 minutes","Dominion North","Tuesday 16:00-17:30","J. B. Rainsberger",
1179,"Scaling Up - pushing Scrum out of its comfort zone","Leadership & Teams","Experience report","30 minutes","Dominion North","Wednesday 08:30-10:00","Richard Lyon","Marcus Evans"
2769,"New Car Development in Toyota","Leadership & Teams","Talk","30 minutes","Dominion North","Wednesday 08:30-10:00","Kenji Hiranabe",
3269,"7 years of agile management","Leadership & Teams","Experience report","30 minutes","Dominion North","Wednesday 08:30-10:00","Rene Barto",
1644,"Dependency Management in a Large Agile Environment","Leadership & Teams","Experience report","60 minutes","Dominion North","Wednesday 10:30-12:00","Eric Babinet","Rajani Ramanathan"
5093,"A Product Managerâ€™s Guide to Surviving the Big Bang Approach to Agile Transitions","Leadership & Teams","Experience report","30 minutes","Dominion North","Wednesday 10:30-12:00","Rasmus Mencke",
298,"Overhauling a Failed Project Using Out of the Box Scrum","Leadership & Teams","Experience report","90 minutes","Dominion North","Wednesday 14:00-15:30","Matthew D Edwards",
1647,"Agile Project Leadership - my top 10 value driven principles","Leadership & Teams","Experience report","30 minutes","Dominion North","Wednesday 14:00-15:30","Lynne Ralston",
2656,"Cowboys and Indians: Impacts of Cultural Diversity on Agile Teams","Leadership & Teams","Experience report","30 minutes","Dominion North","Wednesday 14:00-15:30","Janice Aston","Gerard Meszaros"
2650,"The Value of Collaborative Estimation"," A Case Study","Leadership & Teams","Talk","90 minutes","Dominion North","Wednesday 16:00-17:30","Mitch Lacey"
374,"Appraisals and Compensation:  The Elephant in the Room","Leadership & Teams","Talk","90 minutes","Dominion North","Thursday 08:30-10:00","Mary Poppendieck",
1291,"Guerilla Agile: Stop Playing Schedule Games","Leadership & Teams","Talk","90 minutes","Dominion North","Thursday 10:30-12:00","Johanna Rothman",
3075,"When Whole-Team Attacks: How can we ensure true whole-teams survive and thrive?","Leadership & Teams","Talk","30 minutes","Dominion North","Thursday 14:00-15:30","Angela Martin","Robert Biddle"
3571,"The social nature of agile teams","Leadership & Teams","Experience report","30 minutes","Dominion North","Thursday 14:00-15:30","Elizabeth Whitworth",
4039,"Bootstrapping Scrum and XP under crisis - a story from the trenches","Leadership & Teams","Experience report","30 minutes","Dominion North","Thursday 14:00-15:30","Henrik Kniberg",
1794,"What Are They Doing? What A CIO Wants To Know From An Agile Development Team","Leadership & Teams","Talk","90 minutes","Dominion North","Thursday 16:00-17:30","Niel Nickolaisen",
415,"Searching For and Developing Agile Leaders","Leadership & Teams","Tutorial","90 minutes","Dominion North","Friday 08:30-10:00","David Spann",
5099,"Building High-Performance Agile Teams","Leadership & Teams","Tutorial","90 minutes","Dominion South","Tuesday 16:00-17:30","Paul Hodgetts",
3364,"Functional roles, managers and individual growth in Agile contexts","Leadership & Teams","Panel","90 minutes","Dominion South","Wednesday 08:30-10:00","Rachel Weston",
3334,"Programmers may be from Mars, Customers may be from Venus, but why does everyone think that Project Managers are from Uranus?","Leadership & Teams","Workshop","90 minutes","Dominion South","Wednesday 10:30-12:00","clarke ching","graeme thomas"
1430,"Metrics for Agility","Leadership & Teams","Talk","90 minutes","Dominion South","Wednesday 14:00-15:30","Dan Rawsthorne",
3939,"A Framework for Agile Leadership","Leadership & Teams","Tutorial","90 minutes","Dominion South","Wednesday 16:00-17:30","Todd Little","Pollyanna Pixton"
2949,"The Software Project Manager's Bridge to Agility","Leadership & Teams","Tutorial","90 minutes","Dominion South","Thursday 08:30-10:00","Michele Sliger","Stacia Broderick"
4434,"Oles 8 steps for Agile Mentors","Leadership & Teams","Tutorial","90 minutes","Dominion South","Thursday 10:30-12:00","Ole Jepsen",
3841,"Seeking To Perceive More Than To Be Perceived","Leadership & Teams","Tutorial","90 minutes","Dominion South","Thursday 14:00-15:30","Emmanuel Gaillot","Bernard Notarianni"
1132,"For Agile Leaders Only -- Exploring the ""Hard Bits""","Leadership & Teams","Workshop","90 minutes","Dominion South","Thursday 16:00-17:30","Bob Galen",
1053,"Leadership Success Recipes for Agile in the 21st Century","Leadership & Teams","Tutorial","90 minutes","Dominion South","Tuesday 10:45-12:15","Jean Tabaka","chris louvion"
1289,"Hiring For An Agile Team: Detecting Candidates Who Will Fit With the Team","Leadership & Teams","Tutorial","90 minutes","Dominion South","Tuesday 14:00-15:30","Johanna Rothman",
1879,"PMI and Agile â€“ Oil and Water or Can They Co-exist?","Leadership & Teams","Workshop","90 minutes","Dominion South","Friday 08:30-10:00","Kelly Snavely","Tania Broome"
2978,"The Leadership Imperative: Creating a Culture of Trust","Leadership & Teams","Workshop","90 minutes","Huron","Tuesday 10:45-12:15","Pollyanna Pixton",
2772,"Diana and Estherâ€™s Excellent Retrospective Adventures","Leadership & Teams","Tutorial","180 minutes","Huron","Tuesday 14:00-15:30, Tuesday 16:00-17:30","Diana Larsen","Esther Derby"
1293,"Building Your Coaching Skills","Leadership & Teams","Tutorial","180 minutes","Huron","Wednesday 08:30-10:00, Wednesday 10:30-12:00","Johanna Rothman",
2321,"Leading Volunteers with Agility","Leadership & Teams","Workshop","90 minutes","Huron","Wednesday 14:00-15:30","Mike Cottmeyer",
1355,"How to Overcome Pertinent Conflicts","Leadership & Teams","Tutorial","90 minutes","Huron","Wednesday 16:00-17:30","Christoph Steindl","Christian Federspiel"
604,"What Makes Pairing Work?","Leadership & Teams","Workshop","90 minutes","Huron","Thursday 08:30-10:00","George Dinwiddie",
249,"The Road from Project Manager to Agile Coach","Leadership & Teams","Workshop","90 minutes","Huron","Thursday 10:30-12:00","Lyssa Adkins",
1354,"Agile Leadership: What Is It and How Do You Do It?","Leadership & Teams","Tutorial","180 minutes","Huron","Thursday 14:00-15:30, Thursday 16:00-17:30","Pollyanna Pixton","Johanna Rothman"
1791,"Iteration Zero: Starting a new Agile project","Leadership & Teams","Workshop","90 minutes","Huron","Friday 08:30-10:00","Javid Jamae",
890,"Implementation Agile Internationale chez Yahoo","Chansons FranÃ§aises","Talk","60 minutes","Elgin","Tuesday 10:45-12:15","Alexandre Boutin",
6922,"Chansons franÃ§aises - Introduction","Chansons FranÃ§aises","Other","30 minutes","Elgin","Tuesday 10:45-12:15","Emmanuel Gaillot",
4016,"""Agile ?! Ã§a ne marchera jamais chez nous !""","Chansons FranÃ§aises","Workshop","180 minutes","Elgin","Tuesday 14:00-15:30, Tuesday 16:00-17:30","FranÃ§ois Bachmann",
788,"Jeu de Direction","Chansons FranÃ§aises","Workshop","180 minutes","Elgin","Wednesday 08:30-10:00, Wednesday 10:30-12:00","Yves Hanoulle","Bernard Notarianni"
2980,"Crossing Cultures","Chansons FranÃ§aises","Tutorial","180 minutes","Elgin","Wednesday 14:00-15:30, Wednesday 16:00-17:30","Esther Derby",
2875,"Vision Pluridisciplinaire: GÃ©nÃ©rer une charte de projet en un jour, en enfermant des gens de point de vue divers dans une salle","Chansons FranÃ§aises","Tutorial","180 minutes","Elgin","Thursday 08:30-10:00, Thursday 10:30-12:00","Alain DÃ©silets",
2816,"Contractualisation des projets Agiles","Chansons FranÃ§aises","Workshop","90 minutes","Elgin","Thursday 14:00-15:30","Greg Hutchings",
550,"La technique d'interview des ""Neuf Cases"" pour mieux comprendre votre client","Chansons FranÃ§aises","Tutorial","90 minutes","Elgin","Thursday 16:00-17:30","Pascal Van Cauwenberghe","Portia Tung"
3471,"Mon langage est plus gros que le tien","Chansons FranÃ§aises","Workshop","90 minutes","Elgin","Friday 08:30-10:00","Arnaud Bailly",
3478,"Test-Driven Requirements: beyond tools","Examples","Workshop","90 minutes","Norfolk","Tuesday 10:45-12:15","Gilles Mantel",
5042,"Styles of TDD: First Tests","Examples","Workshop","180 minutes","Norfolk","Tuesday 14:00-15:30, Tuesday 16:00-17:30","Bill Wake","Naresh Jain"
2781,"Fashion Cycle","Examples","Other","180 minutes","Norfolk","Wednesday 08:30-10:00, Wednesday 10:30-12:00","Tobias Mayer","Jennifer Gonsalves"
3676,"How Am I Supposed To Act?","Examples","Workshop","180 minutes","Norfolk","Wednesday 14:00-15:30, Wednesday 16:00-17:30","Michael Bolton","Adam Geras"
1753,"Style and Taste in Writing FIT Documents","Examples","Tutorial","90 minutes","Norfolk","Friday 08:30-10:00","Mike Hill","Steve Freeman"
936,"Behaviour Driven Development using Plain Old JUnit","Examples","Workshop","90 minutes","York","Tuesday 10:45-12:15","Elizabeth Keogh","Dan North"
3059,"ET by Example: An exploratory testing experience","Examples","Tutorial","180 minutes","York","Tuesday 14:00-15:30, Tuesday 16:00-17:30","erik petersen",
4942,"Sleight-of-Quality : A Magical Approach to Testing","Examples","Talk","90 minutes","York","Wednesday 10:30-12:00","Jeremy Kominar",
240,"Backing the Truth into a Corner","Examples","Workshop","180 minutes","Norfolk","Thursday 08:30-10:00, Thursday 10:30-12:00","Keith Braithwaite",
4338,"Patterns Poster Children","Examples","Tutorial","180 minutes","Norfolk","Thursday 14:00-15:30, Thursday 16:00-17:30","Brian Foote",
1167,"Agile Distributed Teams","Distributed Agile","Talk","90 minutes","Conference G","Tuesday 10:45-12:15","Douglas Shimp",
4718,"Ambassador Model for Effectively Distributed Agile Teams","Distributed Agile","Talk","90 minutes","Conference G","Tuesday 14:00-15:30","Giora Morein","George Schlitz"
934,"How Did We Adapt Agile Processes to Our Distributed Development?","Distributed Agile","Experience report","30 minutes","Conference G","Tuesday 16:00-17:30","Cynick Young","Hiroki Terashima"
1224,"Yahoo! Distributed Agile: Notes from the World Over","Distributed Agile","Experience report","30 minutes","Conference G","Tuesday 16:00-17:30","Brian Drummond","JF (John Francis) Unson"
2884,"Distributed Agile Outsourcing:  Growing a Practice Together","Distributed Agile","Experience report","30 minutes","Conference G","Tuesday 16:00-17:30","Michael Vax","Stephen Michaud"
4483,"Distributed Retrospectives","Distributed Agile","Workshop","90 minutes","Conference G","Wednesday 08:30-10:00","Jutta Eckstein",
3765,"Remote mentoring a distributed agile team","Distributed Agile","Experience report","30 minutes","Conference G","Wednesday 10:30-12:00","Jagadish Shrinivasavadhani","Vinod Panicker"
3875,"Practical Considerations for Distributed Agile Projects","Distributed Agile","Experience report","30 minutes","Conference G","Wednesday 10:30-12:00","Jane Robarts",
4455,"Insights into an Agile Adventure with Offshore Partners","Distributed Agile","Experience report","30 minutes","Conference G","Wednesday 10:30-12:00","Mark Summers",
2233,"Agile development within a distributed team","Distributed Agile","Talk","90 minutes","Conference G","Wednesday 14:00-15:30","Jamie Allsop",
1442,"Fully Distributed Scrum:  The Secret Sauce for Hyperproductive Outsourced Development Teams","Distributed Agile","Experience report","30 minutes","Conference G","Wednesday 16:00-17:30","Jeff Sutherland","Guido Schoonheim"
3794,"Growing and Sustaining an Offshore Scrum Engagement","Distributed Agile","Experience report","30 minutes","Conference G","Wednesday 16:00-17:30","Edward Uy","Nikos Ioannou"
4954,"How to apply Agile/Scrum in delivering IT projects remotely for Small-Businesses and overcome cultural barriers. ","Distributed Agile","Experience report","30 minutes","Conference G","Wednesday 16:00-17:30","Syed Rayhan","Nimat  Haque"
388,"How to support a collaborative atmosphere in distributed projects?","Distributed Agile","Workshop","180 minutes","Conference G","Thursday 08:30-10:00, Thursday 10:30-12:00","Lars Arne SkÃ¥r","Jan-Erik Sandberg"
4681,"Distributed Agile Game","Distributed Agile","Workshop","180 minutes","Conference G","Thursday 14:00-15:30, Thursday 16:00-17:30","Desi McAdam",
4456,"Creating Proximity over a Distance","Distributed Agile","Talk","90 minutes","Conference H","Tuesday 10:45-12:15","Jutta Eckstein",
4690,"What Makes Distributed Agile Projects Succeed (or Fail)?","Distributed Agile","Workshop","90 minutes","Conference H","Tuesday 14:00-15:30","Chris Sims",
1597,"Working With Global and Distributed Agile Teams ","Distributed Agile","Talk","90 minutes","Conference H","Tuesday 16:00-17:30","Ken Pugh",
4322,"Panel discussion on troubleshooting distributed agile team projects","Distributed Agile","Panel","90 minutes","Conference H","Wednesday 08:30-10:00","Monica Yap",
3888,"Distributed agile teams and alternative contractual forms: what works best?","Distributed Agile","Talk","90 minutes","Conference H","Wednesday 10:30-12:00","Greg Hutchings",
252,"Updating ""Patterns for Distributed Agile""","Distributed Agile","Workshop","180 minutes","Conference H","Wednesday 14:00-15:30, Wednesday 16:00-17:30","Keith Braithwaite",
3216,"Managing Database Development on Distributed Teams","Distributed Agile","Demonstration","90 minutes","Conference H","Thursday 14:00-15:30","Pramod Sadalage",
1669,"Colossal, Scattered, and Chaotic (Planning with a Large Distributed Team)","Distributed Agile","Experience report","30 minutes","Conference H","Thursday 16:00-17:30","Wes Williams","Mike Stout"
2337,"The Good and Bad of Offshore Agile Development","Distributed Agile","Experience report","30 minutes","Conference H","Thursday 16:00-17:30","Mike Cottmeyer",
2780,"Overcoming the Challenges of a Distributed Organization","Distributed Agile","Experience report","30 minutes","Conference H","Thursday 16:00-17:30","Elaine Therrien","Michele Sliger"
3958,"Refactoring Strategies & Tactics","Developer Jam","Tutorial","180 minutes","Osgoode Ballroom East","Wednesday 14:00-15:30, Wednesday 16:00-17:30","Joshua Kerievsky",
1632,"Coding Contest","Developer Jam","Other","180 minutes","Osgoode Ballroom East","Thursday 08:30-10:00, Thursday 10:30-12:00","Christoph Steindl","Christian Federspiel"
449,"TDD Clinic: BDD, Ruby, & Rails","Developer Jam","Clinic","90 minutes","Osgoode Ballroom West","Tuesday 10:45-12:15","Gregg Pollack",
2039,"TDD Clinic: Ron & Chet","Developer Jam","Clinic","180 minutes","Osgoode Ballroom West","Tuesday 14:00-15:30, Tuesday 16:00-17:30","Chet Hendrickson","Ron Jeffries"
648,"TDD Clinic: incremental design with Mock Objects.","Developer Jam","Clinic","180 minutes","Osgoode Ballroom West","Wednesday 08:30-10:00, Wednesday 10:30-12:00","Steve Freeman",
2799,"TDD Clinic: C++","Developer Jam","Clinic","180 minutes","Osgoode Ballroom West","Wednesday 14:00-15:30, Wednesday 16:00-17:30","James Grenning",
243,"TDD Clinic: .Net and C#","Developer Jam","Clinic","180 minutes","Osgoode Ballroom West","Thursday 08:30-10:00, Thursday 10:30-12:00","David Starr",
285,"TDD Clinic: C and Legacy Code","Developer Jam","Clinic","180 minutes","Osgoode Ballroom West","Thursday 14:00-15:30, Thursday 16:00-17:30","Bas Vodde","Michael Feathers"
2205,"TDD Clinic: NUnit","Developer Jam","Clinic","90 minutes","Osgoode Ballroom West","Friday 08:30-10:00","James Newkirk",
4854,"Clean Code Clinic: TDD Ping Pong Match!","Developer Jam","Clinic","90 minutes","Osgoode Foyer","Tuesday 10:45-12:15","Andy Maleh","Dave Hoover"
2989,"Clean Code Clinic: Ugly Tic Tac Toe","Developer Jam","Clinic","180 minutes","Osgoode Foyer","Tuesday 14:00-15:30, Tuesday 16:00-17:30","Patrick Wilson-Welsh","J. B. Rainsberger"
4593,"Clean Code Clinic: Dealing with CRRAP (Microtesting Legacy Code)","Developer Jam","Clinic","180 minutes","Osgoode Foyer","Wednesday 08:30-10:00, Wednesday 10:30-12:00","Michael Hill",
443,"Clean Code Clinic: Refactoring Fest","Developer Jam","Clinic","180 minutes","Osgoode Foyer","Wednesday 14:00-15:30, Wednesday 16:00-17:30","Naresh Jain",
2381,"Automated Testing Clinic: Testing with a Purpose","Developer Jam","Clinic","180 minutes","Osgoode Foyer","Thursday 08:30-10:00, Thursday 10:30-12:00","Kay Johansen","Christian Hargraves"
734,"Automated Testing Clinic: FitNesse.NET","Developer Jam","Clinic","180 minutes","Osgoode Foyer","Thursday 14:00-15:30, Thursday 16:00-17:30","Mike Stockdale",
4674,"Acceptance Testing Clinic: FitNesse","Developer Jam","Clinic","90 minutes","Osgoode Foyer","Friday 08:30-10:00","Micah Martin",
4596,"Continuous Integration Clinic","Developer Jam","Clinic","180 minutes","Peel","Thursday 08:30-10:00, Thursday 10:30-12:00","Maciej Zawadzki",
4381,"Continuous Integration Clinic: Continuous Monitoring","Developer Jam","Clinic","180 minutes","Peel","Thursday 14:00-15:30, Thursday 16:00-17:30","Owen Rogers","Sreekanth V"
377,"Continuous Testing: TDD Turned Up To 12","Developer Jam","Demonstration","90 minutes","Sheraton Hall C","Tuesday 10:45-12:15","Ben Rady",
4224,"Advanced Test Patterns in C++","Developer Jam","Tutorial","90 minutes","Sheraton Hall C","Tuesday 14:00-15:30","Bill Hanlon",
337,"Code Metrics & Analysis for Agile Projects","Developer Jam","Talk","90 minutes","Sheraton Hall C","Tuesday 16:00-17:30","Neal Ford","Ram Singaram"
801,"Architecture in an Agile Organization","Developer Jam","Talk","90 minutes","Sheraton Hall C","Wednesday 08:30-10:00","Chris Sterling","Michael Phoenix"
4299,"Agile Developer Practices for Dynamic Languages","Developer Jam","Talk","90 minutes","Sheraton Hall C","Wednesday 10:30-12:00","Paul King",
4747,"Clean Systems: Clean Code at the Architecture Level","Developer Jam","Tutorial","90 minutes","Sheraton Hall C","Wednesday 14:00-15:30","Dean Wampler",
2766,"Exploratory Test Driven Development: Red,Yellow, Green, Refactor","Developer Jam","Demonstration","90 minutes","Sheraton Hall C","Wednesday 16:00-17:30","Jonathan de Halleux","Nikolai Tillmann"
4274,"Don't give up on mocking!","Developer Jam","Demonstration","90 minutes","Sheraton Hall C","Thursday 08:30-10:00","Szczepan Faber",
802,"A Hundred Days of Continuous Integration","Developer Jam","Experience report","30 minutes","Sheraton Hall C","Thursday 10:30-12:00","Ade Miller",
2238,"Team pace - Keeping build times down","Developer Jam","Experience report","30 minutes","Sheraton Hall C","Thursday 10:30-12:00","Graham Brooks",
4594,"Effective and pragmatic Test Driven Development ","Developer Jam","Experience report","30 minutes","Sheraton Hall C","Thursday 10:30-12:00","Andrew Rendell",
1650,"Advanced TDD Randori and Fishbowl","Developer Jam","Workshop","180 minutes","Sheraton Hall C","Thursday 14:00-15:30, Thursday 16:00-17:30","Dave Nicolette","Ryan Hoegg"
3298,"Test-Driven GUI Development Made Easy","Developer Jam","Tutorial","90 minutes","Sheraton Hall C","Friday 08:30-10:00","Alex Ruiz","Yvonne Price"
847,"Agility Night Live - TV Sketches and Project Stories","Agile & Organizational Culture","Talk","90 minutes","Osgoode Ballroom East","Friday 08:30-10:00","Ken Collier",
2400,"Learning Kaizen from TOYOTA [with MindMaps]","Agile & Organizational Culture","Workshop","90 minutes","Churchill Room","Tuesday 10:45-12:15","Kenji Hiranabe",
380,"Exposing the â€œdevilsâ€ within - Agile taboos and other hurdles in a large organization","Agile & Organizational Culture","Workshop","180 minutes","Churchill Room","Tuesday 14:00-15:30, Tuesday 16:00-17:30","Jan-Erik Sandberg","Lars Arne SkÃ¥r"
1655,"Overcoming Resistance to Change","Agile & Organizational Culture","Workshop","180 minutes","Churchill Room","Wednesday 08:30-10:00, Wednesday 10:30-12:00","Dave Nicolette","Lasse Koskela"
1960,"Successful Agile Transitions: Using Appreciative Inquiry to Discover What Works","Agile & Organizational Culture","Workshop","180 minutes","Churchill Room","Wednesday 14:00-15:30, Wednesday 16:00-17:30","Ellen Gottesdiener",
3078,"Mr Agile Goes To Washington: The Impact of Politics on Agile Projects","Agile & Organizational Culture","Workshop","180 minutes","Churchill Room","Thursday 08:30-10:00, Thursday 10:30-12:00","Angela Martin","Rachel Davies"
4941,"Building Self-Organization Skills through the Touchstones Discussion Project","Agile & Organizational Culture","Workshop","90 minutes","Churchill Room","Thursday 14:00-15:30","Pam Rostal",
5051,"Whose Project is it Anyway?","Agile & Organizational Culture","Workshop","90 minutes","Churchill Room","Thursday 16:00-17:30","Bonnie Aumann",
3715,"Punctuated Continuity: Using Ritual and Ceremony to Avoid Process Fatigue","Agile & Organizational Culture","Workshop","90 minutes","Churchill Room","Friday 08:30-10:00","Michael Tardiff","Paul Dupuy, Jr."
4639,"Throwing the Agile Transition Party","Agile & Organizational Culture","Talk","60 minutes","City Hall Room","Tuesday 10:45-12:15","Michael Hill",
6429,"Culture Stage Introduction","Agile & Organizational Culture","Talk","30 minutes","City Hall Room","Tuesday 10:45-12:15","Marc Evers","Linda Rising"
2640,"Storytelling Skills for Agile Teams","Agile & Organizational Culture","Tutorial","180 minutes","City Hall Room","Tuesday 14:00-15:30, Tuesday 16:00-17:30","Rebecca Wirfs-Brock","Rachel Davies"
1131,"Lessons from Agility meets an eCommerce SaaS Product","Agile & Organizational Culture","Talk","30 minutes","City Hall Room","Wednesday 08:30-10:00","Bob Galen",
3289,"â€œItâ€™s not the pants, itâ€™s the people in the pantsâ€: Learnings from The Gap Agile Transformation","Agile & Organizational Culture","Experience report","30 minutes","City Hall Room","Wednesday 08:30-10:00","Michael Elbaz",
4083,"Crawl, Walk, Run: 4 years of Agile Adoption at BabyCenter.com","Agile & Organizational Culture","Experience report","30 minutes","City Hall Room","Wednesday 08:30-10:00","Keith Nottonson","Kenneth DeLong"
3889,"Scaling Agile: Finding your Agile Tribe","Agile & Organizational Culture","Experience report","30 minutes","City Hall Room","Wednesday 10:30-12:00","Erik Moore","John Spens"
4702,"The Price of Agile Is Eternal Vigilance","Agile & Organizational Culture","Experience report","30 minutes","City Hall Room","Wednesday 10:30-12:00","Joe Ryan","Rob Scudiere"
1249,"Becoming a fearless leader of change (to agile or any new idea) in your organization","Agile & Organizational Culture","Tutorial","180 minutes","City Hall Room","Wednesday 14:00-15:30, Wednesday 16:00-17:30","Linda Rising","MaryLynn Manns"
2977,"Creating Cultures Where Agile Emerges","Agile & Organizational Culture","Tutorial","180 minutes","City Hall Room","Thursday 08:30-10:00, Thursday 10:30-12:00","Pollyanna Pixton",
410,"Creating Agile Streams for business and technical value","Agile & Organizational Culture","Experience report","30 minutes","City Hall Room","Thursday 14:00-15:30","David Spann",
2881,"The Big Projects Always Fail: Taking an Enterprise Agile","Agile & Organizational Culture","Experience report","30 minutes","City Hall Room","Thursday 14:00-15:30","Roger Valade",
3313,"An Ericsson example of enterprise class Agility","Agile & Organizational Culture","Experience report","30 minutes","City Hall Room","Thursday 14:00-15:30","Jasper Goos","Alfo Melisse"
2172,"Enterprise Agile - panel discussion","Agile & Organizational Culture","Panel","90 minutes","City Hall Room","Thursday 16:00-17:30","Nicola Dourambeis",
